id;document_prefix;document_postfix;current_number;is_active;document_id;location_id;transaction_type_id
1;SQL Berkshire District;SAS Brand Refined;33726;true;1;1;1
2;visualize Home dynamic;Books;30734;true;2;2;2
3;solid state generate;zero tolerance Clothing;88004;false;3;3;3
4;payment panel redefine;Chad synthesizing;42069;true;4;4;4
5;Assistant optimize;Rwanda B2C expedite;60613;true;5;5;5
6;1080p red;Investment Account Chair;52284;false;6;6;6
7;quantifying Avon Rustic;out-of-the-box Sports;98866;false;7;7;7
8;user-centric;Licensed Granite Soap Associate;97252;true;8;8;8
9;circuit;connect;25500;true;9;9;9
10;parse morph;firmware;91658;true;10;10;10
