id;item_code;item_name;item_description;item_price;item_barcode;item_supplier_barcode;item_promotional_price;item_cost;is_item_on_sale;expiry_date;image;image_content_type;related_model_id;related_product_id;location_id;unit_of_measure_id;currency_id
1;Car Plastic Reverse-engineered;Credit Card Account;Unbranded Frozen Towels Gorgeous Metal Bacon Licensed Rubber Chips;96549;virtual;Computers connect;92243;21149;true;2019-12-31;../fake-data/blob/hipster.png;image/png;1;1;1;1;1
2;Plastic New Leu composite;Advanced;eco-centric Interactions;4885;Personal Loan Account;Automotive Generic Lithuanian Litas;73792;93891;false;2020-01-01;../fake-data/blob/hipster.png;image/png;2;2;2;2;2
3;database grey orchid;Virtual Rubber;static;87943;Pines;SAS Lead Berkshire;30344;21144;true;2019-12-31;../fake-data/blob/hipster.png;image/png;3;3;3;3;3
4;bypass virtual back-end;SDD synthesizing;Computer reboot;74984;Human;microchip;25413;97129;false;2019-12-31;../fake-data/blob/hipster.png;image/png;4;4;4;4;4
5;backing up Multi-channelled;overriding;GB Personal Loan Account Gorgeous;17445;Customizable Drives;Ouguiya;27577;50526;false;2019-12-31;../fake-data/blob/hipster.png;image/png;5;5;5;5;5
6;back up;synthesize Cambridgeshire;Internal Estonia;46799;1080p Coordinator navigating;quantifying 24/7;46445;21012;true;2019-12-31;../fake-data/blob/hipster.png;image/png;6;6;6;6;6
7;Cambridgeshire;real-time optimizing;Tala optimizing;60112;solid state Towels Industrial;Dynamic;34358;82705;false;2020-01-01;../fake-data/blob/hipster.png;image/png;7;7;7;7;7
8;Borders Tasty Frozen;Meadow;Customer;8395;SDD;Operations alarm;4324;2444;false;2019-12-31;../fake-data/blob/hipster.png;image/png;8;8;8;8;8
9;Forward interface;Architect Shoes haptic;Solutions ROI Investment Account;82222;Spring indexing;Fork;27138;1284;true;2020-01-01;../fake-data/blob/hipster.png;image/png;9;9;9;9;9
10;Savings Account Practical Fresh Chair Rustic;Future-proofed Sharable;Missouri;22575;Directives;orchestrate Checking Account;91060;71329;true;2019-12-31;../fake-data/blob/hipster.png;image/png;10;10;10;10;10
