id;location_code;location_name;is_active;email;rating;phone;address_line_1;address_line_2;city;country;image;image_content_type;vat_number;vat_perc;company_id
1;Secured productize;schemas;true;"?$0A@kZ-.AS2&j";31083;1-387-685-9199 x808;explicit Gold;harness port neural;Port Harley;Mozambique;../fake-data/blob/hipster.png;image/png;Reverse-engineered;98091;1
2;Car Granite stable;Outdoors;true;"sW.63R@bqm$.(jawm%";84213;1-755-961-3008 x89372;e-services;EXE Illinois;North Ewald;Swaziland;../fake-data/blob/hipster.png;image/png;Money Market Account;96594;2
3;Beauty Fantastic Plastic Computer;Principal Soft;true;"\)i@^UO4r.`Qod[$";81252;054-883-0743;Forward;1080p;Port Adolfo;Malta;../fake-data/blob/hipster.png;image/png;Assurance infrastructures;18552;3
4;Plastic;Producer bandwidth;true;"pCm0_@=T^X.,rp";59412;(451) 439-5420;Division Indian Rupee Ngultrum viral;Haven haptic;Ziemannborough;Guinea;../fake-data/blob/hipster.png;image/png;approach compressing;39925;4
5;backing up Configuration;Checking Account Accounts;false;"<.sNUP@`a^^K4.R.7#";74372;974.399.2114;New Mexico;Administrator Intelligent Soft Salad bandwidth;Port Johathanville;Falkland Islands (Malvinas);../fake-data/blob/hipster.png;image/png;Dong THX grow;74714;5
6;Causeway leading edge;Gorgeous;false;"QhZ@I19U.5";85377;198.295.8467 x24039;Technician Zimbabwe primary;maximized;Garrettville;Serbia;../fake-data/blob/hipster.png;image/png;portals withdrawal;13338;6
7;Cotton experiences;transform;true;"(W@sMI9o4.!ZF";73557;157.034.2552 x3494;connecting hacking;bandwidth Unbranded Steel Chicken B2B;North Rigoberto;Fiji;../fake-data/blob/hipster.png;image/png;Small Fresh Shoes scale cross-platform;30128;7
8;SMTP PNG Architect;Team-oriented bluetooth;true;"4bvp@6glrJB.V";52602;(827) 028-7787;B2C world-class;morph Rubber Small Cotton Table;West Jedediahchester;Turkmenistan;../fake-data/blob/hipster.png;image/png;evolve Uzbekistan Sum Egyptian Pound;9776;8
9;matrix;Ergonomic Steel Hat;true;"]m)@^8bS.k{vi1b";24185;(873) 937-1557 x156;Direct Home Loan Account;Rustic Metal Bacon;O'Harafurt;Latvia;../fake-data/blob/hipster.png;image/png;Checking Account cross-platform;48847;9
10;Security;end-to-end Small;false;"p'L,$@=MUJ.SNal]";42799;(822) 653-5033;Designer;Factors;North Milford;Libyan Arab Jamahiriya;../fake-data/blob/hipster.png;image/png;cross-platform;3677;10
