id;quotation_number;quotation_date;quotationexpire_date;quotation_total_amount;quotation_to;quotation_from;project_number;quotation_note;location_id
1;Auto Loan Account;2019-12-31;2019-12-31;30269;Washington hub Reduced;SMS;seamless dot-com;Accountability clicks-and-mortar;1
2;Administrator Branding;2020-01-01;2020-01-01;47298;AGP;Berkshire;capacitor Assistant;Cedi Books extranet;2
3;networks;2020-01-01;2019-12-31;43779;programming National Swaziland;full-range Ramp Crossroad;back up;navigate HDD;3
4;Bacon navigating;2020-01-01;2020-01-01;9405;Vermont vortals Avon;experiences;Forward Response;portals deposit;4
5;Fish Specialist Accountability;2020-01-01;2020-01-01;26854;COM;Table Berkshire backing up;niches Metal non-volatile;Loaf;5
6;high-level;2020-01-01;2020-01-01;74648;methodology;Profound Republic of Korea;Berkshire Internal;networks;6
7;Refined Steel Pants bus;2020-01-01;2019-12-31;91381;24/7;Personal Loan Account Cross-group magenta;Licensed Table;Cuba Home SMS;7
8;tertiary synthesize Faroe Islands;2020-01-01;2020-01-01;83589;Pike Rubber Internal;Licensed;backing up deposit;SQL networks multi-byte;8
9;Branding Iowa Wooden;2019-12-31;2020-01-01;88004;deliver;model;protocol Vision-oriented;copying Refined;9
10;Branch;2019-12-31;2019-12-31;86132;dot-com overriding;dot-com transmitting ivory;asymmetric;Cedi deposit IB;10
